id	source	tolerate	deleterious	group_name	name	description	orientation	scope	reference	doi	is_metascore	annotations	transformation
bayesdel	local	-1.3	0.76	BayesDel	BayesDel	BayesDel is a combined deleteriousness score defined as a weighted product of likelihood ratios of multiple deleteriousness predictors.	positive	all	Feng 2017	10.1002/humu.23158	x	PolyPhen2, SIFT, FATHMM, LRT, Mutation Taster, Mutation Assessor, PhyloP, GERP++, SiPhy	
cadd.consscore	myvariant	0	7	CADD	CADD Custom deleterious score assigned to Consequence	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations	
cadd.phred	myvariant	1	99	CADD	CADD phred-like	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations, Grantham, phastCons, phyloP, GERP++, mirSVR, targetScan, chromHMM, Encode expression, nucleosome position, histone modification, open chromatin, Segway, tOverlapMotifs, TFBS, mutationDensity, nearestMutation, dbscSNV	
cadd.rawscore	myvariant	-6	33	CADD	CADD raw	Combined Annotation Dependent Depletion (CADD) is a framework that integrates multiple annotations into one metric by contrasting variants that survived natural selection with simulated mutations.	positive	regulatory	Kircher et al. 2014;Rentzsch et al. 2018	10.1038/ng.2892;10.1093/nar/gky1016		Gene annotations, Grantham, phastCons, phyloP, GERP++, mirSVR, targetScan, chromHMM, Encode expression, nucleosome position, histone modification, open chromatin, Segway, tOverlapMotifs, TFBS, mutationDensity, nearestMutation, dbscSNV	
cdts_percentile	local	0	100	CDTS	CDTS percentile	CDTS represents sequence constraint across thousands of individuals  and is an asset to help interpret noncoding elements in the human genome, prioritize variants and reconsider gene units at a larger scale.	negative	all	di Iulio et al. 2018	10.1038/s41588-018-0062-7		An intraspecies map of sequence constraint for the human species build on 11,257 whole-genome sequences.	
dbnsfp.dann.rankscore	myvariant	0	1	DANN	DANN	DANN uses the same feature set and training data as CADD to train a deep neural network (DNN). DNNs can capture non-linear relationships among features and are better suited than SVMs for problems with a large number of samples and features.	positive	coding	Quang et al. 2015			Same as CADD	
deepseq_sig_log2	snpnexus	1	100	DeepSEA	DeepSEA ( -log2 )	DeepSEA predicts genomic variant effects on a wide range of chromatin features at the variant position (Transcription factors binding, DNase I hypersensitive sites, and histone marks in multiple hunman cell types. 	positive	regulatory	Zhou et al. 2015			Transcription factors binding, DNase I hypersensitive sites, and histone marks in multiple human cell types.	Absolute value of LOG2
eigen_nc	snpnexus	-2	5	Eigen	Eigen	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	regulatory	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
dbnsfp.eigen.pc.raw_rankscore	myvariant	0	1	Eigen	Eigen-PC	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	coding	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
dbnsfp.eigen.raw_rankscore	myvariant	0	1	Eigen	Eigen	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	coding	Ionita-Laza et al. 2016	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
eigen_pc_nc	snpnexus	-2	5	Eigen	Eigen-PC	Eigen is a spectral approach to the functional annotation of genetic variants in coding and noncoding regions. Eigen makes use of a variety of functional annotations in both coding and noncoding regions (such as made available by the ENCODE and Roadmap Epigenomics projects), and combines them into one single measure of functional importance.	positive	regulatory	Ionita-Laza et al. 2017	10.1038/ng.3477		PolyPhen, GERP, ENCODE, genomic element annotation (Ensembl and Roadmap Epigenomics), Furthermore, tissue-specific eQTLs and splicing QTLs (GTEx)	
fathmm_nc	snpnexus	0	1	FATHMM	FATHMM	"FATHMM is capable of predicting the functional effects of protein missense mutations by combining sequence conservation within hidden Markov models (HMMs), representing the alignment of homologous sequences and conserved protein domains, with ""pathogenicity weights"", representing the overall tolerance of the protein/domain to mutations. "	positive	regulatory	Shihab et al. 2015			Sequence conservation, nucleotide sequence characteristics, genomic features (codons, splice sites, etc.), amino acid features and expression levels in different tissues.	
dbnsfp.fathmm-mkl.coding_rankscore	myvariant	0	1	FATHMM	FATHMM-MKL	"FATHMM is capable of predicting the functional effects of protein missense mutations by combining sequence conservation within hidden Markov models (HMMs), representing the alignment of homologous sequences and conserved protein domains, with ""pathogenicity weights"", representing the overall tolerance of the protein/domain to mutations. "	positive	coding	Shihab et al. 2015			Sequence conservation, nucleotide sequence characteristics, genomic features (codons, splice sites, etc.), amino acid features and expression levels in different tissues.	
dbnsfp.fathmm.rankscore	myvariant	0	1	FATHMM	FATHMM	"FATHMM is capable of predicting the functional effects of protein missense mutations by combining sequence conservation within hidden Markov models (HMMs), representing the alignment of homologous sequences and conserved protein domains, with ""pathogenicity weights"", representing the overall tolerance of the protein/domain to mutations. "	positive	coding	Shihab et al. 2015			Sequence conservation, nucleotide sequence characteristics, genomic features (codons, splice sites, etc.), amino acid features and expression levels in different tissues.	
dbnsfp.fathmm.xf.coding_rankscore	myvariant	0	1	FATHMM	FATHMM-XF	FATHMM-XF (FATHMM with an eXtended Feature set) is an extension of FATHMM which yields highly accurate predictions for SNVs across the entire human genome. FATHMM-XF assigns a confidence score (a p-score) to every prediction, to simplify interpretation, and focus analysis on a subset of high-confidence predictions (cautious classification). 	positive	coding	Rogers et al. 2017			Sequence conservation, nucleotide sequence characteristics, genomic features (codons, splice sites, etc.), amino acid features and expression levels in different tissues.	
cadd.fitcons	myvariant	0	1	fitCons	integrated fitCons	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	regulatory	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
fitcons_nc	snpnexus	0	0.5	fitCons	fitCons	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	regulatory	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
dbnsfp.gm12878.fitcons_rankscore	myvariant	0	1	fitCons	fitCons GM12878	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	coding	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
dbnsfp.h1.hesc.fitcons_rankscore	myvariant	0	1	fitCons	fitCons  H1-hESC	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	coding	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
dbnsfp.huvec.fitcons_rankscore	myvariant	0	1	fitCons	fitCons HUVEC	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	coding	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
dbnsfp.integrated.fitcons_rankscore	myvariant	0	1	fitCons	integrated fitCons	"fitCons, the fitness consequences of functional annotation, integrates functional assays (such as ChIP-Seq) with selective pressure inferred using the INSIGHT method. The result is a score ρ in the range [0.0-1.0] that indicates the fraction of genomic positions evincing a particular pattern (or ""fingerprint"") of functional assay results, that are under selective pressure."	positive	coding	Gulko et al. 2015	10.1038/ng.3196		DNase I digestion and sequencing (DNase-seq) data, RNA sequencing (RNA-seq) data and chromatin immunoprecipitation and sequencing (ChIP-seq) 	
funseq	snpnexus	0	1	FunSeq2	FunSeq2	This tool is specialized to prioritize somatic variants from cancer whole genome sequencing. It contains two components : 1) building data context from various resources; 2) variants prioritization. 	positive	regulatory	Fu et al. 2014	10.1186/s13059-014-0480-5		Inter- and intra-species conservation; loss- and gain-of-function events for transcription-factor binding; enhancer-gene linkages and network centrality	
dbnsfp.genocanyon.rankscore	myvariant	0	1	GenoCanyon	GenoCanyon	GenoCanyon is a whole-genome functional annotation approach based on unsupervised statistical learning. It integrates genomic conservation measures and biochemical annotation data to predict the functional potential at each nucleotide.	positive	coding	Lu, Q. et al. 2015	10.1038/srep10576		GenoCanyon, a whole-genome annotation method that performs unsupervised statistical learning using 22 computational and experimental annotations (GERP, PhyloP, open chromatine, histone modification, TFBS) 	
cadd.gerp.rs_deleted	myvariant	-12.3	6.17	GERP	GERP++	GERP identifies constrained elements in multiple alignments by quantifying substitution deficits. 	positive	regulatory	Davydov et al. 2010	10.1371/journal.pcbi.1001025		PhastCons; Conservation	
cadd.gerp.r	myvariant	-12.3	6.17	GERP	GERP++	GERP identifies constrained elements in multiple alignments by quantifying substitution deficits. 	positive	regulatory	Davydov et al. 2010	10.1371/journal.pcbi.1001025		PhastCons; Conservation	
cadd.gerp.n	myvariant	-12.3	6.17	GERP	GERP++	GERP identifies constrained elements in multiple alignments by quantifying substitution deficits. 	positive	regulatory	Davydov et al. 2010	10.1371/journal.pcbi.1001025		PhastCons; Conservation	
dbnsfp.gerp...rs_rankscore	myvariant	0	1	GERP	GERP++	GERP identifies constrained elements in multiple alignments by quantifying substitution deficits. 	positive	coding	Davydov et al. 2010	10.1371/journal.pcbi.1001025		PhastCons; Conservation	
cadd.grantham	myvariant	5	215	Grantham	Grantham	The Grantham score attempts to predict the distance between two amino acids, in an evolutionary sense. A lower Grantham score reflects less evolutionary distance.	positive	regulatory	Grantham 1974	NA		Distance between two amino acids	
evs.grantham_score	myvariant	5	215	Grantham	Grantham	The Grantham score attempts to predict the distance between two amino acids, in an evolutionary sense. A lower Grantham score reflects less evolutionary distance.	positive	regulatory	Grantham 1974	NA		Distance between two amino acids	
gwava_region	snpnexus	0	1	GWAVA	GWAVA Region	GWAVA is a tool which aims to predict the functional impact of non-coding genetic variants based on a wide range of annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	positive	regulatory	Ritchie et al. 2014			Annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	
gwava_tss	snpnexus	0	1	GWAVA	GWAVA tss	GWAVA is a tool which aims to predict the functional impact of non-coding genetic variants based on a wide range of annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	positive	regulatory	Ritchie et al. 2015			Annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	
gwava_unmatched	snpnexus	0	1	GWAVA	GWAVA Unmatched	GWAVA is a tool which aims to predict the functional impact of non-coding genetic variants based on a wide range of annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	positive	regulatory	Ritchie et al. 2016			Annotations of non-coding elements (largely from ENCODE/GENCODE), along with genome-wide properties such as evolutionary conservation and GC-content.	
iwscoring_known	snpnexus	-5	6	IW-Scoring	IW-Scoring for known variants	IW-Scoring is an Integrative Weighted Scoring model to annotate and prioritise functionally relevant noncoding variations. 11 scoring methods were evaluated. An unsupervised spectral approach for subsequent selective integration was applied to produce two linear weighted functional scoring schemas for known and novel variations. 	positive	regulatory	Wang et al. 2018			CADD v1.3, DeepSEA, Eigen (Eigen and Eigen-PC), fitCons, FunSeq2, FATHMM-MKL, GWAVA (region, TSS and unmatched scores) and ReMM	
iwscoring_novel	snpnexus	-5	6	IW-Scoring	IW-Scoring for novel variants	IW-Scoring is an Integrative Weighted Scoring model to annotate and prioritise functionally relevant noncoding variations. 11 scoring methods were evaluated. An unsupervised spectral approach for subsequent selective integration was applied to produce two linear weighted functional scoring schemas for known and novel variations. 	positive	regulatory	Wang et al. 2018			CADD v1.3, DeepSEA, Eigen (Eigen and Eigen-PC), fitCons, FunSeq2, FATHMM-MKL, GWAVA (region, TSS and unmatched scores) and ReMM	
linsight	local	0	1	LINSIGHT	LINSIGHT	LINSIGHT combines a generalized linear model for functional genomic data with a probabilistic model of molecular evolution to improves the prediction of noncoding nucleotide sites at which mutations are likely to have deleterious fitness consequences, and which therefore are likely to be phenotypically important.	positive	all	Huang et al. 2017	10.1038/ng.3810		RNA expression level (RNA-seq read depth), chromatin accessibility (DNase-I hypersensitive sites), histone modifications, bound transcription factors (ChIP-seq peaks),  gene annotations (e.g., distance to nearest transcription start site, match to known TFBS motif) and comparative genomics (e.g., phyloP25 or phastCons4 scores)	
dbnsfp.lrt.converted_rankscore	myvariant	0	1	LRT	LRT	LRT is a likelihood ratio test capable of accurately identify a subset of deleterious mutations that disrupt highly conserved amino acids within protein-coding sequences, which are likely to be unconditionally deleterious.	positive	coding	Chun and Fay 2009	10.1101/gr.092619.109		Comparative genomics data set of 32 vertebrate species.	
dbnsfp.m_cap_score.rankscore	myvariant	0	1	M-CAP	M-CAP	Mendelian Clinically Applicable Pathogenicity (M-CAP) Score is the first pathogenicity classifier for rare missense variants in the human genome that is tuned to the high sensitivity required in the clinic.	positive	coding	Jagadeesh et al. 2016			SIFT, PolyPhen-2, CADD, MutationTaster, MutationAssessor, FATHMM, LRT, MetaLR, and MetaSVM, measures of base-pair, amino acid, genomic region, and gene conservation: RVIS, PhyloP, PhastCons PAM250, BLOSUM62, SIPHY, GERP and 298 new features derived from multiple-sequence alignment of 99 primate, mammalian, and vertebrate genomes to the human genome.	
dbnsfp.metalr.rankscore	myvariant	0	1	MetaLR	MetaLR	MetaSVM and MetaLR are ensemble scores are based on 10 component scores (SIFT, PolyPhen-2 HDIV, PolyPhen-2 HVAR, GERP++, MutationTaster, Mutation Assessor, FATHMM, LRT, SiPhy, PhyloP) and the maximum frequency observed in the 1000 genomes populations. 	positive	coding	Dong et al. 2015	10.1093/hmg/ddu733	x	PolyPhen-2, SIFT, MutationTaster, Mutation Assessor, FATHMM, LRT, SiPhy, GERP++ and PhyloP	
dbnsfp.metasvm.rankscore	myvariant	0	1	MetaSVM	MetaSVM	MetaSVM and MetaLR are ensemble scores are based on 10 component scores (SIFT, PolyPhen-2 HDIV, PolyPhen-2 HVAR, GERP++, MutationTaster, Mutation Assessor, FATHMM, LRT, SiPhy, PhyloP) and the maximum frequency observed in the 1000 genomes populations. 	positive	coding	Dong et al. 2015	10.1093/hmg/ddu733	x	PolyPhen-2, SIFT, MutationTaster, Mutation Assessor, FATHMM, LRT, SiPhy, GERP++ and PhyloP	
dbnsfp.mpc.rankscore	myvariant	0	1	MPC	MPC	MPC (for Missense badness, PolyPhen-2, and Constraint) is  a novel missense deleteriousness metric which specifically enables the deleterious effect of missense variants to be predicted. 	positive	coding	Samocha et al. 2017 (bioRxiv)			Map of sub-genic regions depleted of missense variations based on the exome sequencing data of 60,706 individuals from (ExAC)	
dbnsfp.mutationassessor.rankscore	myvariant	0	1	MutationAssessor	MutationAssessor	MutationAssessor predicts the functional impact of amino-acid substitutions in proteins, such as mutations discovered in cancer or missense polymorphisms. The functional impact is assessed based on evolutionary conservation of the affected amino acid in protein homologs.	positive	coding	Reva et al. 2011			Sequence homology of protein families and sub-families within and between species	
dbnsfp.mutationtaster.converted_rankscore	myvariant	0	1	MutationTaster2	MutationTaster2	MutationTaster2 evaluates the pathogenic potential of DNA sequence alterations. It is designed to predict the functional consequences of not only amino acid substitutions but also intronic and synonymous alterations, short insertion and/or deletion (indel) mutations and variants spanning intron-exon borders.	positive	coding	Schwarz et al. 2014			DNA sequence conservation, splice site prediction, mRNA stability prediction and protein feature annotations	
dbnsfp.mutpred.rankscore	myvariant	0	1	MutPred	MutPred	MutPred2 is a machine learning-based method and software package that integrates genetic and molecular data to reason probabilistically about the pathogenicity of amino acid substitutions. This is achieved by providing (1) a general pathogenicity prediction, and (2) a ranked list of specific molecular alterations potentially affecting the phenotype. 	positive	coding	Li et al. 2009	10.1101/134981		MutPred2 is a machine learning-based method and software package that integrates genetic and molecular data to reason probabilistically about the pathogenicity of amino acid substitutions. 	
mutdb.mutpred_score	myvariant	0	1	MutPred	MutPred	MutPred2 is a machine learning-based method and software package that integrates genetic and molecular data to reason probabilistically about the pathogenicity of amino acid substitutions. This is achieved by providing (1) a general pathogenicity prediction, and (2) a ranked list of specific molecular alterations potentially affecting the phenotype. 	positive	all	Li et al. 2009	10.1101/134981		MutPred2 is a machine learning-based method and software package that integrates genetic and molecular data to reason probabilistically about the pathogenicity of amino acid substitutions. 	
cadd.phast_cons.mammalian	myvariant	0	1	PhastCons	Mammalian PhastCons conservation	PhastCons is a program for identifying evolutionarily conserved elements in a multiple alignment, given a phylogenetic tree. It is based on a statistical model of sequence evolution called a phylogenetic hidden Markov model (phylo-HMM).	positive	regulatory	Siepel et al. 2005			Distributions of the number of substitutions based on a phylogenetic hidden Markov model	
cadd.phast_cons.primate	myvariant	0	1	PhastCons	Primate PhastCons conservation score	PhastCons is a program for identifying evolutionarily conserved elements in a multiple alignment, given a phylogenetic tree. It is based on a statistical model of sequence evolution called a phylogenetic hidden Markov model (phylo-HMM).	positive	regulatory	Siepel et al. 2005			Distributions of the number of substitutions based on a phylogenetic hidden Markov model	
cadd.phast_cons.vertebrate	myvariant	0	1	PhastCons	Vertebrate PhastCons conservation	PhastCons is a program for identifying evolutionarily conserved elements in a multiple alignment, given a phylogenetic tree. It is based on a statistical model of sequence evolution called a phylogenetic hidden Markov model (phylo-HMM).	positive	regulatory	Siepel et al. 2005			Distributions of the number of substitutions based on a phylogenetic hidden Markov model	
dbnsfp.phastcons.100way.vertebrate_rankscore	myvariant	0	1	PhastCons	Primate PhastCons conservation score	PhastCons is a program for identifying evolutionarily conserved elements in a multiple alignment, given a phylogenetic tree. It is based on a statistical model of sequence evolution called a phylogenetic hidden Markov model (phylo-HMM).	positive	coding	Siepel et al. 2005			Distributions of the number of substitutions based on a phylogenetic hidden Markov model	
dbnsfp.phastcons.20way.mammalian_rankscore	myvariant	0	1	PhastCons	Mammalian PhastCons conservation	PhastCons is a program for identifying evolutionarily conserved elements in a multiple alignment, given a phylogenetic tree. It is based on a statistical model of sequence evolution called a phylogenetic hidden Markov model (phylo-HMM).	positive	coding	Siepel et al. 2005			Distributions of the number of substitutions based on a phylogenetic hidden Markov model	
cadd.phylop.mammalian	myvariant	-14	3	PhyloP	Mammalian PhyloP	PhyloP scores measure evolutionary conservation at individual alignment sites. The scores are interpreted as follows compared to the evolution expected under neutral drift: Positive scores -- Measure conservation, which is slower evolution than expected, at sites that are predicted to be conserved.	positive	regulatory	Siepel et al. 2006			Sequences under selection based on comparative sequence  based on a phylogenetic hidden Markov model 	
cadd.phylop.primate	myvariant	-14	3	PhyloP	Primate PhyloP	PhyloP scores measure evolutionary conservation at individual alignment sites. The scores are interpreted as follows compared to the evolution expected under neutral drift: Positive scores -- Measure conservation, which is slower evolution than expected, at sites that are predicted to be conserved.	positive	regulatory	Siepel et al. 2006			Sequences under selection based on comparative sequence  based on a phylogenetic hidden Markov model 	
cadd.phylop.vertebrate	myvariant	-14	3	PhyloP	Vertebrate PhyloP	PhyloP scores measure evolutionary conservation at individual alignment sites. The scores are interpreted as follows compared to the evolution expected under neutral drift: Positive scores -- Measure conservation, which is slower evolution than expected, at sites that are predicted to be conserved.	positive	regulatory	Siepel et al. 2006			Sequences under selection based on comparative sequence  based on a phylogenetic hidden Markov model 	
dbnsfp.phylo.p100way.vertebrate_rankscore	myvariant	0	1	PhyloP	Vertebrate PhyloP	PhyloP scores measure evolutionary conservation at individual alignment sites. The scores are interpreted as follows compared to the evolution expected under neutral drift: Positive scores -- Measure conservation, which is slower evolution than expected, at sites that are predicted to be conserved.	positive	coding	Siepel et al. 2006			Sequences under selection based on comparative sequence  based on a phylogenetic hidden Markov model 	
dbnsfp.phylo.p20way.mammalian_rankscore	myvariant	0	1	PhyloP	Mammalian PhyloP	PhyloP scores measure evolutionary conservation at individual alignment sites. The scores are interpreted as follows compared to the evolution expected under neutral drift: Positive scores -- Measure conservation, which is slower evolution than expected, at sites that are predicted to be conserved.	positive	coding	Siepel et al. 2006			Sequences under selection based on comparative sequence  based on a phylogenetic hidden Markov model 	
dbnsfp.polyphen2.hdiv.rankscore	myvariant	0	1	PolyPhen2	PolyPhen2 HDIV	PolyPhen-2 (Polymorphism Phenotyping v2) is a tool which predicts possible impact of an amino acid substitution on the structure and function of a human protein using straightforward physical and comparative considerations. Please, use the form below to submit your query.	positive	coding	Adzhubei et al. 2010	10.1038/nmeth0410-248		Amino acid substitution on the structure and function of a human protein.	
dbnsfp.polyphen2.hvar.rankscore	myvariant	0	1	PolyPhen2	PolyPhen2 HVAR	PolyPhen-2 (Polymorphism Phenotyping v2) is a tool which predicts possible impact of an amino acid substitution on the structure and function of a human protein using straightforward physical and comparative considerations. Please, use the form below to submit your query.	positive	coding	Adzhubei et al. 2010	10.1038/nmeth0410-248		Amino acid substitution on the structure and function of a human protein.	
dbnsfp.provean.rankscore	myvariant	0	1	PROVEAN	PROVEAN	PROVEAN (Protein Variation Effect Analyzer) is a software tool which predicts whether an amino acid substitution or indel has an impact on the biological function of a protein.	positive	coding	Choi et al. 2012	10.1371/journal.pone.0046688		Alignment-based score predicting the damaging effects of  single amino acid substitutions, in-frame insertions, deletions, and multiple amino acid substitutions.	
remm	snpnexus	0	1	ReMM	ReMM	The Regulatory Mendelian Mutation (ReMM) score was created for relevance prediction of non-coding variations (SNVs and small InDels) in the human genome (hg19) in terms of Mendelian diseases.	positive	regulatory	Smedley et al. 2016	10.1016/j.ajhg.2016.07.005		PhastCons, PhyloP, GERP++, CpG and G/C content, transcription and regulation annotations from UCSC,  DNase hypersensitive score, Histone methylation, TFBS, MAF, DGV, dbVar and isca	
dbnsfp.revel.rankscore	myvariant	0	1	REVEL	REVEL	REVEL is (rare exome variant ensemble learner) an ensemble method for predicting the pathogenicity of missense variants on the basis of individual tools such as MutPred, FATHMM, VEST and PolyPhen. 	positive	coding	Ioannidis et al. 2016	10.1016/j.ajhg.2016.08.016	x	MutPred, PROVEAN, SIFT, PolyPhen-2 HVAR and HDIV, LRT, MutationTaster, MutationAssessor, FATHMM v2.3, and VEST 3.0, GERP++, SiPhy, phyloP, phastCons, PolyPhen-2, FATHMM, and PROVEAN.	
cadd.sift.val	myvariant	1	0	SIFT	SIFT	SIFT (sorting intolerant from tolerant) predicts whether an amino acid substitution affects protein function based on sequence homology and the physical properties of amino acids. SIFT can be applied to naturally occurring nonsynonymous polymorphisms and laboratory-induced missense mutations.	negative	regulatory	Ng and Henikoff 2003			Distribution of amino acid residues observed at a given position in the sequence alignment and the estimated unobserved frequencies of amino acid distribution calculated from a Dirichlet mixture.	
dbnsfp.sift.converted_rankscore	myvariant	0	1	SIFT	SIFT	SIFT (sorting intolerant from tolerant) predicts whether an amino acid substitution affects protein function based on sequence homology and the physical properties of amino acids. SIFT can be applied to naturally occurring nonsynonymous polymorphisms and laboratory-induced missense mutations.	positive	coding	Ng and Henikoff 2003			Distribution of amino acid residues observed at a given position in the sequence alignment and the estimated unobserved frequencies of amino acid distribution calculated from a Dirichlet mixture.	
dbnsfp.sift4g.converted_rankscore	myvariant	0	1	SIFT4G	SIFT4G	SIFT 4G is faster version of SIFT that enables practical computations on reference genomes. 	positive	coding	Vaser R et al. 2016	10.1038/nprot.2015.123		Distribution of amino acid residues observed at a given position in the sequence alignment and the estimated unobserved frequencies of amino acid distribution calculated from a Dirichlet mixture.	
dbnsfp.siphy_29way.logodds_rankscore	myvariant	0	1	SiPhy	SiPhy	SiPhy is a statistical method for modeling biased nucleotide substitutions, a learning algorithm for inferring site-specific substitution biases directly from sequence alignments and a hidden Markov model for detecting constrained elements characterized by biased substitutions.	positive	coding	Garber et al. 2009;Lindblad-Toh et al. 2011	10.1093/bioinformatics/btp190;10.1038/nature10530		Deeply sequenced clades to identify evolutionary selection and substitution patterns characteristic of sequence undergoing natural selection.	
dbnsfp.vest3.rankscore	myvariant	0	1	VEST	VEST3	VEST (Variant Effect Scoring Tool) is a machine learning method that predicts the functional significance of missense mutations based on the probability that they are pathogenic.	positive	coding	Carter et al. 2013	10.1186/1471-2164-14-S3-S3		Functional missense mutations	
dbnsfp.vest4.rankscore	myvariant	0	1	VEST	VEST4	VEST (Variant Effect Scoring Tool) is a machine learning method that predicts the functional significance of missense mutations based on the probability that they are pathogenic.	positive	coding	Carter et al. 2013	10.1186/1471-2164-14-S3-S3		Functional missense mutations	
